d_val	e_val	j_val	BGB_DEC_init_LnL	BD_LnL	classe_DEC_ML	classe_DEC_ML_minus_BD
d_0.1_e_5_j_1	0.1	5	1	-46.3637880826231	-3.2163953243245	-54.6308571951215	-46.5516060083048
d_0.1_e_5_j_2.99	0.1	5	2.99	-47.0148073087015	-3.2163953243245	-55.9895756138545	-47.7292307540603
d_0.3_e_0_j_0	0.3	0	0	-4.49175957812663	-3.2163953243245	-13.0834331635039	-4.4917594987461
d_0.3_e_0_j_0.01	0.3	0	0.01	-4.41992528145028	-3.2163953243245	-12.9919267365062	-4.51182377242452
d_0.3_e_0_j_0.05	0.3	0	0.05	-4.24472595222319	-3.2163953243245	-12.7440918693372	-4.59315145152496
d_0.3_e_0_j_0.1	0.3	0	0.1	-4.16053217077723	-3.2163953243245	-12.5807772276857	-4.69643537847978
d_0.3_e_0_j_0.3	0.3	0	0.3	-4.28963541735237	-3.2163953243245	-12.4813089489929	-5.1134107158572
d_0.3_e_0_j_1	0.3	0	1	-5.55960015933033	-3.2163953243245	-13.4012737441958	-6.51434817167639
d_0.3_e_0_j_2.99	0.3	0	2.99	-17.5318476048576	-3.2163953243245	-25.1240783264885	-18.4778371798264
d_0.3_e_0.01_j_0	0.3	0.01	0	-4.35386905168496	-3.2163953243245	-12.8219510220048	-4.44556470829723
d_0.3_e_0.01_j_0.01	0.3	0.01	0.01	-4.30131604600463	-3.2163953243245	-12.7628632605958	-4.4656492805935
d_0.3_e_0.01_j_0.05	0.3	0.01	0.05	-4.17296083781226	-3.2163953243245	-12.5962827958527	-4.546908234842
d_0.3_e_0.01_j_0.1	0.3	0.01	0.1	-4.11706665045675	-3.2163953243245	-12.4846508580084	-4.64980649493602
d_0.3_e_0.01_j_0.3	0.3	0.01	0.3	-4.27889816622048	-3.2163953243245	-12.454973012139	-5.06263071459211
d_0.3_e_0.01_j_1	0.3	0.01	1	-5.51592693827685	-3.2163953243245	-13.3957232824556	-6.42014344694635
d_0.3_e_0.01_j_2.99	0.3	0.01	2.99	-8.57907136792518	-3.2163953243245	-17.5540560060834	-9.91279895051918
d_0.3_e_0.05_j_0	0.3	0.05	0	-4.08208855049284	-3.2163953243245	-12.3635343605589	-4.35587897022684
d_0.3_e_0.05_j_0.01	0.3	0.05	0.01	-4.06545508989592	-3.2163953243245	-12.348931393378	-4.37574191194473
d_0.3_e_0.05_j_0.05	0.3	0.05	0.05	-4.03320870271362	-3.2163953243245	-12.3109071591104	-4.45571452616047
d_0.3_e_0.05_j_0.1	0.3	0.05	0.1	-4.04222959960848	-3.2163953243245	-12.2969855639855	-4.55619814539079
d_0.3_e_0.05_j_0.3	0.3	0.05	0.3	-4.28405644765354	-3.2163953243245	-12.4253464882411	-4.95221603446601
d_0.3_e_0.05_j_1	0.3	0.05	1	-5.40705916898302	-3.2163953243245	-13.4085409328294	-6.17483623089658
d_0.3_e_0.05_j_2.99	0.3	0.05	2.99	-7.0840414619448	-3.2163953243245	-16.0595401443917	-8.30303263776512
d_0.3_e_0.1_j_0	0.3	0.1	0	-4.02501659974183	-3.2163953243245	-12.2393326638274	-4.37871032749463
d_0.3_e_0.1_j_0.01	0.3	0.1	0.01	-4.02456855262513	-3.2163953243245	-12.2402654377825	-4.39806953594308
d_0.3_e_0.1_j_0.05	0.3	0.1	0.05	-4.03977777222337	-3.2163953243245	-12.2527593012393	-4.47575009775871
d_0.3_e_0.1_j_0.1	0.3	0.1	0.1	-4.08437278454208	-3.2163953243245	-12.2837015440084	-4.57280477457509
d_0.3_e_0.1_j_0.3	0.3	0.1	0.3	-4.37026893264386	-3.2163953243245	-12.4982954991323	-4.95005192812192
d_0.3_e_0.1_j_1	0.3	0.1	1	-5.38342089598983	-3.2163953243245	-13.4896177600229	-6.05801880936823
d_0.3_e_0.1_j_2.99	0.3	0.1	2.99	-6.59086492870752	-3.2163953243245	-15.566593224854	-7.71800225090876
d_0.3_e_0.3_j_0	0.3	0.3	0	-4.72050310145692	-3.2163953243245	-12.888477465986	-5.11713148328187
d_0.3_e_0.3_j_0.01	0.3	0.3	0.01	-4.73514334101775	-3.2163953243245	-12.9024081240328	-5.13461901549628
d_0.3_e_0.3_j_0.05	0.3	0.3	0.05	-4.79629398339598	-3.2163953243245	-12.9595073626055	-5.20441310796144
d_0.3_e_0.3_j_0.1	0.3	0.3	0.1	-4.87586487456642	-3.2163953243245	-13.033067562649	-5.29079641096469
d_0.3_e_0.3_j_0.3	0.3	0.3	0.3	-5.18802968324862	-3.2163953243245	-13.3336555090775	-5.61820388343812
d_0.3_e_0.3_j_1	0.3	0.3	1	-5.95280947766747	-3.2163953243245	-14.2585706018079	-6.49636333387349
d_0.3_e_0.3_j_2.99	0.3	0.3	2.99	-6.63966050580535	-3.2163953243245	-15.6158240447956	-7.5998892535537
d_0.3_e_1_j_0	0.3	1	0	-9.56787673920528	-3.2163953243245	-17.7320892404903	-9.91101924051444
d_0.3_e_1_j_0.01	0.3	1	0.01	-9.58530191823333	-3.2163953243245	-17.7488496745877	-9.92534585258067
d_0.3_e_1_j_0.05	0.3	1	0.05	-9.65275945795378	-3.2163953243245	-17.8152750644591	-9.98241264565148
d_0.3_e_1_j_0.1	0.3	1	0.1	-9.7319723528505	-3.2163953243245	-17.8965822202313	-10.0527213043412
d_0.3_e_1_j_0.3	0.3	1	0.3	-9.99612804102241	-3.2163953243245	-18.1975932647646	-10.3146380527657
d_0.3_e_1_j_1	0.3	1	1	-10.4998915222115	-3.2163953243245	-18.960714685524	-10.9686304124037
d_0.3_e_1_j_2.99	0.3	1	2.99	-10.8795158170791	-3.2163953243245	-19.8560683261638	-11.703754137595
d_0.3_e_3_j_0	0.3	3	0	-26.4453668754432	-3.2163953243245	-34.5988936116763	-26.7346802635791
d_0.3_e_3_j_0.01	0.3	3	0.01	-26.4610834118237	-3.2163953243245	-34.6146089708351	-26.746153785934
d_0.3_e_3_j_0.05	0.3	3	0.05	-26.5207530592836	-3.2163953243245	-34.6766238269535	-26.7921169367284
d_0.3_e_3_j_0.1	0.3	3	0.1	-26.5886828858535	-3.2163953243245	-34.7519370615426	-26.8491589018786
d_0.3_e_3_j_0.3	0.3	3	0.3	-26.8015219883204	-3.2163953243245	-35.0249184381125	-27.0631501627594
d_0.3_e_3_j_1	0.3	3	1	-27.162703244246	-3.2163953243245	-35.675964372337	-27.5907221111323
d_0.3_e_3_j_2.99	0.3	3	2.99	-27.4114674557302	-3.2163953243245	-36.3881709663649	-28.1670370573145
d_0.3_e_5_j_0	0.3	5	0	-44.0908892190295	-3.2163953243245	-52.2414920415248	-44.3708129885606
d_0.3_e_5_j_0.01	0.3	5	0.01	-44.1058399631856	-3.2163953243245	-52.2565732633966	-44.381187874247
d_0.3_e_5_j_0.05	0.3	5	0.05	-44.1623468718355	-3.2163953243245	-52.3161119347734	-44.4229477841226
d_0.3_e_5_j_0.1	0.3	5	0.1	-44.2262017980299	-3.2163953243245	-52.3884437113252	-44.4751154864044
d_0.3_e_5_j_0.3	0.3	5	0.3	-44.4232026349827	-3.2163953243245	-52.6503390904912	-44.6726820901023
d_0.3_e_5_j_1	0.3	5	1	-44.7477842497195	-3.2163953243245	-53.2700353414966	-45.1635578685952
d_0.3_e_5_j_2.99	0.3	5	2.99	-44.9660997414496	-3.2163953243245	-53.9422145398813	-45.7024887085606
d_1_e_0_j_0	1	0	0	-10.7917595124841	-3.2163953243245	-19.3834332801072	-10.7917596153494
d_1_e_0_j_0.01	1	0	0.01	-10.7199251705919	-3.2163953243245	-19.2919268534665	-10.8118238893848
d_1_e_0_j_0.05	1	0	0.05	-10.5447259084154	-3.2163953243245	-19.0440919881506	-10.8931515703384
d_1_e_0_j_0.1	1	0	0.1	-10.4605320743069	-3.2163953243245	-18.8807773493586	-10.9964355001526
d_1_e_0_j_0.3	1	0	0.3	-10.5896353077587	-3.2163953243245	-18.7813090825337	-11.413410849398
d_1_e_0_j_1	1	0	1	-11.8596000115783	-3.2163953243245	-19.701273917295	-12.8143483447756
d_1_e_0_j_2.99	1	0	2.99	-23.8318475295335	-3.2163953243245	-31.4240839526598	-24.7778428059977
d_1_e_0.01_j_0	1	0.01	0	-9.71530405813375	-3.2163953243245	-17.9055534137299	-10.1979347283158
d_1_e_0.01_j_0.01	1	0.01	0.01	-9.70910312009077	-3.2163953243245	-17.9043516458203	-10.2173580797802
d_1_e_0.01_j_0.05	1	0.01	0.05	-9.706596010922	-3.2163953243245	-17.9095471416572	-10.2953271244266
d_1_e_0.01_j_0.1	1	0.01	0.1	-9.73656357483841	-3.2163953243245	-17.9334667710405	-10.3928011685114
d_1_e_0.01_j_0.3	1	0.01	0.3	-9.99594178941559	-3.2163953243245	-18.1321929753534	-10.7720622784041
d_1_e_0.01_j_1	1	0.01	1	-10.9880305657603	-3.2163953243245	-19.1102133677277	-11.8837066455127
d_1_e_0.01_j_2.99	1	0.01	2.99	-12.1420482767245	-3.2163953243245	-21.1182346581577	-13.433379871007
d_1_e_0.05_j_0	1	0.05	0	-8.23214212892823	-3.2163953243245	-16.3789728122168	-8.98696719753077
d_1_e_0.05_j_0.01	1	0.05	0.01	-8.24776288166841	-3.2163953243245	-16.3965853269805	-9.00252821449489
d_1_e_0.05_j_0.05	1	0.05	0.05	-8.3100900103496	-3.2163953243245	-16.4663113540959	-9.06426382284535
d_1_e_0.05_j_0.1	1	0.05	0.1	-8.38650484065746	-3.2163953243245	-16.5516224573904	-9.13988807452699
d_1_e_0.05_j_0.3	1	0.05	0.3	-8.6604054362753	-3.2163953243245	-16.8691110104023	-9.41903715453478
d_1_e_0.05_j_1	1	0.05	1	-9.24413281047818	-3.2163953243245	-17.6990170200216	-10.1085236331004
d_1_e_0.05_j_2.99	1	0.05	2.99	-9.72251219008682	-3.2163953243245	-18.6991558117569	-10.8673542492397
d_1_e_0.1_j_0	1	0.1	0	-7.47645981620337	-3.2163953243245	-15.6655525494355	-8.27209648057122
d_1_e_0.1_j_0.01	1	0.1	0.01	-7.49189640620352	-3.2163953243245	-15.6835738653129	-8.28463788758583
d_1_e_0.1_j_0.05	1	0.1	0.05	-7.551180344473	-3.2163953243245	-15.753977200581	-8.33419504284461
d_1_e_0.1_j_0.1	1	0.1	0.1	-7.61993097466661	-3.2163953243245	-15.838208932555	-8.39445606758889
d_1_e_0.1_j_0.3	1	0.1	0.3	-7.84379155430752	-3.2163953243245	-16.135821449118	-8.6124722602489
d_1_e_0.1_j_1	1	0.1	1	-8.25668329930463	-3.2163953243245	-16.8225350940512	-9.12162442262248
d_1_e_0.1_j_2.99	1	0.1	2.99	-8.57688519647428	-3.2163953243245	-17.5537632561289	-9.66154538749322
d_1_e_0.3_j_0	1	0.3	0	-6.75304139872457	-3.2163953243245	-15.0117376516567	-7.53247086303595
d_1_e_0.3_j_0.01	1	0.3	0.01	-6.76333783297388	-3.2163953243245	-15.0266289781994	-7.54024564824713
d_1_e_0.3_j_0.05	1	0.3	0.05	-6.80191130052432	-3.2163953243245	-15.0842326156075	-7.57095158116563
d_1_e_0.3_j_0.1	1	0.3	0.1	-6.84491492380763	-3.2163953243245	-15.1519674497543	-7.60819855231482
d_1_e_0.3_j_0.3	1	0.3	0.3	-6.97470478889092	-3.2163953243245	-15.3813132381867	-7.74133761813723
d_1_e_0.3_j_1	1	0.3	1	-7.18710519199717	-3.2163953243245	-15.8580163043934	-8.03974568902905
d_1_e_0.3_j_2.99	1	0.3	2.99	-7.34412988543771	-3.2163953243245	-16.3212864882325	-8.34681350526239
d_1_e_1_j_0	1	1	0	-9.5482273135123	-3.2163953243245	-17.7930180425637	-10.1887765764929
d_1_e_1_j_0.01	1	1	0.01	-9.55316014320564	-3.2163953243245	-17.804735285805	-10.1934261427696
d_1_e_1_j_0.05	1	1	0.05	-9.57143291470038	-3.2163953243245	-17.8499527305147	-10.2120184403031
d_1_e_1_j_0.1	1	1	0.1	-9.59143762504483	-3.2163953243245	-17.9028907102807	-10.2349603659813
d_1_e_1_j_0.3	1	1	0.3	-9.64973532435893	-3.2163953243245	-18.0801292217325	-10.3190432776902
d_1_e_1_j_1	1	1	1	-9.73996478198976	-3.2163953243245	-18.4390151347506	-10.5122767546408
d_1_e_1_j_2.99	1	1	2.99	-9.80440206700121	-3.2163953243245	-18.7816480221268	-10.7146393633004
d_1_e_3_j_0	1	3	0	-24.2447010657592	-3.2163953243245	-32.4172522743581	-24.7084516516243
d_1_e_3_j_0.01	1	3	0.01	-24.2470201447862	-3.2163953243245	-32.4276688313464	-24.7119154718939
d_1_e_3_j_0.05	1	3	0.05	-24.2555788505784	-3.2163953243245	-32.4680499909034	-24.7261477925026
d_1_e_3_j_0.1	1	3	0.1	-24.2648929978128	-3.2163953243245	-32.5156580989549	-24.7443793130038
d_1_e_3_j_0.3	1	3	0.3	-24.2917322300554	-3.2163953243245	-32.677143468336	-24.8152047688268
d_1_e_3_j_1	1	3	1	-24.3325398382817	-3.2163953243245	-33.0114340181042	-24.9904372393531
d_1_e_3_j_2.99	1	3	2.99	-24.3613147120099	-3.2163953243245	-33.3385131846977	-25.1846997028323
d_1_e_5_j_0	1	5	0	-40.9326101810495	-3.2163953243245	-49.0826115006984	-41.3366505431126
d_1_e_5_j_0.01	1	5	0.01	-40.9343134777313	-3.2163953243245	-49.0925147593919	-41.3396054658358
d_1_e_5_j_0.05	1	5	0.05	-40.9405959534785	-3.2163953243245	-49.1310633490457	-41.3520360305823
d_1_e_5_j_0.1	1	5	0.1	-40.9474268565662	-3.2163953243245	-49.1767965452881	-41.3684539513776
d_1_e_5_j_0.3	1	5	0.3	-40.9670785834586	-3.2163953243245	-49.3337438297935	-41.4351115060909
d_1_e_5_j_1	1	5	1	-40.9968886337755	-3.2163953243245	-49.664926365395	-41.6085471358655
d_1_e_5_j_2.99	1	5	2.99	-41.0178814658661	-3.2163953243245	-49.9950123953998	-41.8075523500518
d_3_e_0_j_0	3	0	0	-28.7917593964429	-3.2163953243245	-37.3834411504201	-28.7917674856622
d_3_e_0_j_0.01	3	0	0.01	-28.7199252955253	-3.2163953243245	-37.2919346683415	-28.8118317042597
d_3_e_0_j_0.05	3	0	0.05	-28.5447259027643	-3.2163953243245	-37.0440996444934	-28.8931592266812
d_3_e_0_j_0.1	3	0	0.1	-28.4605321233219	-3.2163953243245	-36.8807848940605	-28.9964430448546
d_3_e_0_j_0.3	3	0	0.3	-28.5896353429944	-3.2163953243245	-36.7813164297962	-29.4134181966605
d_3_e_0_j_1	3	0	1	-29.8596000970923	-3.2163953243245	-37.7012815348919	-30.8143559623725
d_3_e_0_j_2.99	3	0	2.99	-41.8318475534678	-3.2163953243245	-49.4240663475324	-42.7778252008704
d_3_e_0.01_j_0	3	0.01	0	-18.9479391889141	-3.2163953243245	-27.4948370294801	-20.1122433577362
d_3_e_0.01_j_0.01	3	0.01	0.01	-18.953723889052	-3.2163953243245	-27.5044977303271	-20.113997102027
d_3_e_0.01_j_0.05	3	0.01	0.05	-18.9752980658943	-3.2163953243245	-27.5415378905313	-20.12126884381
d_3_e_0.01_j_0.1	3	0.01	0.1	-18.9991938790498	-3.2163953243245	-27.5844568523795	-20.1306877229445
d_3_e_0.01_j_0.3	3	0.01	0.3	-19.0706727334128	-3.2163953243245	-27.7252583685559	-20.1677377902931
d_3_e_0.01_j_1	3	0.01	1	-19.18790805073	-3.2163953243245	-28.0005226585623	-20.2597621788727
d_3_e_0.01_j_2.99	3	0.01	2.99	-19.2780256235446	-3.2163953243245	-28.2555635870968	-20.3608150914354
d_3_e_0.05_j_0	3	0.05	0	-14.4725938832684	-3.2163953243245	-23.0877115736229	-15.6850320667017
d_3_e_0.05_j_0.01	3	0.05	0.01	-14.4744792464681	-3.2163953243245	-23.093761912993	-15.6833787791792
d_3_e_0.05_j_0.05	3	0.05	0.05	-14.4814649038051	-3.2163953243245	-23.1169187436194	-15.6775290428344
d_3_e_0.05_j_0.1	3	0.05	0.1	-14.4891171955042	-3.2163953243245	-23.1436680810611	-15.6716268947247
d_3_e_0.05_j_0.3	3	0.05	0.3	-14.5114809172381	-3.2163953243245	-23.2307756311516	-15.6575204110865
d_3_e_0.05_j_1	3	0.05	1	-14.5464886594686	-3.2163953243245	-23.3981174307788	-15.6454928086302
d_3_e_0.05_j_2.99	3	0.05	2.99	-14.572025509922	-3.2163953243245	-23.5496761942046	-15.645207227475
d_3_e_0.1_j_0	3	0.1	0	-12.4620787813776	-3.2163953243245	-21.0626588291832	-13.6498891262708
d_3_e_0.1_j_0.01	3	0.1	0.01	-12.4631574310326	-3.2163953243245	-21.0684024368826	-13.6479798155675
d_3_e_0.1_j_0.05	3	0.1	0.05	-12.4671475435484	-3.2163953243245	-21.0903541847357	-13.6411145579744
d_3_e_0.1_j_0.1	3	0.1	0.1	-12.4715076628471	-3.2163953243245	-21.1156557762633	-13.6339753487939
d_3_e_0.1_j_0.3	3	0.1	0.3	-12.4841843460983	-3.2163953243245	-21.1977157418121	-13.615454899163
d_3_e_0.1_j_1	3	0.1	1	-12.5038324058457	-3.2163953243245	-21.354394777082	-13.593810028445
d_3_e_0.1_j_2.99	3	0.1	2.99	-12.5180140214657	-3.2163953243245	-21.4956649176356	-13.5840446325826
d_3_e_0.3_j_0	3	0.3	0	-9.67371354749228	-3.2163953243245	-18.1920763245816	-10.7492356508622
d_3_e_0.3_j_0.01	3	0.3	0.01	-9.67409787656521	-3.2163953243245	-18.1986900235088	-10.7482940017775
d_3_e_0.3_j_0.05	3	0.3	0.05	-9.67551785063961	-3.2163953243245	-18.2238672029383	-10.7450232617683
d_3_e_0.3_j_0.1	3	0.3	0.1	-9.67706603450596	-3.2163953243245	-18.2527050225868	-10.7418389015576
d_3_e_0.3_j_0.3	3	0.3	0.3	-9.68154731047519	-3.2163953243245	-18.3451119791491	-10.7349839273046
d_3_e_0.3_j_1	3	0.3	1	-9.68843451287857	-3.2163953243245	-18.517979196801	-10.7319455635966
d_3_e_0.3_j_2.99	3	0.3	2.99	-9.69336162056116	-3.2163953243245	-18.6709653960985	-10.7360434029648
d_3_e_1_j_0	3	1	0	-9.55440114031258	-3.2163953243245	-17.9114407176878	-10.4020978484518
d_3_e_1_j_0.01	3	1	0.01	-9.55449044136416	-3.2163953243245	-17.920164556621	-10.4033969826971
d_3_e_1_j_0.05	3	1	0.05	-9.55482000751824	-3.2163953243245	-17.9533480371012	-10.408637188732
d_3_e_1_j_0.1	3	1	0.1	-9.55517904439371	-3.2163953243245	-17.9913064517846	-10.4151654482322
d_3_e_1_j_0.3	3	1	0.3	-9.55621653268726	-3.2163953243245	-18.1126052758815	-10.4391976580582
d_3_e_1_j_1	3	1	1	-9.55780598076996	-3.2163953243245	-18.3382241249317	-10.4930423352794
d_3_e_1_j_2.99	3	1	2.99	-9.55893941490902	-3.2163953243245	-18.536425261893	-10.5464642465913
d_3_e_3_j_0	3	3	0	-20.2742245531286	-3.2163953243245	-28.4896892745229	-20.8885908112393
d_3_e_3_j_0.01	3	3	0.01	-20.2742416750463	-3.2163953243245	-28.4997335522481	-20.8913352023045
d_3_e_3_j_0.05	3	3	0.05	-20.2743046645771	-3.2163953243245	-28.5381419542863	-20.9022903424834
d_3_e_3_j_0.1	3	3	0.1	-20.2743734346667	-3.2163953243245	-28.5824508705477	-20.9157586515143
d_3_e_3_j_0.3	3	3	0.3	-20.2745719605319	-3.2163953243245	-28.7264521093208	-20.9645774451152
d_3_e_3_j_1	3	3	1	-20.2748759647416	-3.2163953243245	-29.0025497801523	-21.0735674877288
d_3_e_3_j_2.99	3	3	2.99	-20.2750924931605	-3.2163953243245	-29.2524433692311	-21.1836433571252
d_3_e_5_j_0	3	5	0	-34.6620551942934	-3.2163953243245	-42.8348781457595	-35.1866169406644
d_3_e_5_j_0.01	3	5	0.01	-34.6620626837047	-3.2163953243245	-42.845002856298	-35.1895052618523
d_3_e_5_j_0.05	3	5	0.05	-34.6620905575242	-3.2163953243245	-42.8838806659085	-35.2011785991559
d_3_e_5_j_0.1	3	5	0.1	-34.6621208494074	-3.2163953243245	-42.9290298970221	-35.2157856251472
d_3_e_5_j_0.3	3	5	0.3	-34.6622085215182	-3.2163953243245	-43.0776895092696	-35.2703127296453
d_3_e_5_j_1	3	5	1	-34.6623427698717	-3.2163953243245	-43.3694396741543	-35.3972907327636
d_3_e_5_j_2.99	3	5	2.99	-34.6624384540088	-3.2163953243245	-43.6397496826896	-35.5302538929457
d_5_e_0_j_0	5	0	0	-46.7917593881632	-3.2163953243245	-55.3823411777372	-46.7906675129794
d_5_e_0_j_0.01	5	0	0.01	-46.7199251195348	-3.2163953243245	-55.2908395192697	-46.810736555188
d_5_e_0_j_0.05	5	0	0.05	-46.544725896911	-3.2163953243245	-55.0430204288415	-46.8920800110293
d_5_e_0_j_0.1	5	0	0.1	-46.4605321101702	-3.2163953243245	-54.8797199738663	-46.9953781246604
d_5_e_0_j_0.3	5	0	0.3	-46.5896353309149	-3.2163953243245	-54.7802786027926	-47.4123803696569
d_5_e_0_j_1	5	0	1	-47.8596000695803	-3.2163953243245	-55.7002654010424	-48.813339828523
d_5_e_0_j_2.99	5	0	2.99	-59.8318475481696	-3.2163953243245	-67.4227271517185	-60.7764860050565
d_5_e_0.01_j_0	5	0.01	0	-22.6264181251921	-3.2163953243245	-31.3005713650059	-23.9017124949438
d_5_e_0.01_j_0.01	5	0.01	0.01	-22.6267072085804	-3.2163953243245	-31.3046034675835	-23.8980674929431
d_5_e_0.01_j_0.05	5	0.01	0.05	-22.6277750474223	-3.2163953243245	-31.320068813146	-23.8846290201281
d_5_e_0.01_j_0.1	5	0.01	0.1	-22.6289395622171	-3.2163953243245	-31.3379987223654	-23.8700274487598
d_5_e_0.01_j_0.3	5	0.01	0.3	-22.6323109694411	-3.2163953243245	-31.3968737444474	-23.8280733163213
d_5_e_0.01_j_1	5	0.01	1	-22.6374948803001	-3.2163953243245	-31.5120976953645	-23.7645561884
d_5_e_0.01_j_2.99	5	0.01	2.99	-22.6412051636597	-3.2163953243245	-31.6189136812699	-23.7198916099396
d_5_e_0.05_j_0	5	0.05	0	-17.159515828697	-3.2163953243245	-25.7926080951284	-18.3895770601041
d_5_e_0.05_j_0.01	5	0.05	0.01	-17.1595885695387	-3.2163953243245	-25.7972752808908	-18.3865754909788
d_5_e_0.05_j_0.05	5	0.05	0.05	-17.1598567925309	-3.2163953243245	-25.8150721178995	-18.3755004805166
d_5_e_0.05_j_0.1	5	0.05	0.1	-17.1601493108178	-3.2163953243245	-25.8355169496898	-18.3634508482381
d_5_e_0.05_j_0.3	5	0.05	0.3	-17.1609943850891	-3.2163953243245	-25.9015028406743	-18.3287296503313
d_5_e_0.05_j_1	5	0.05	1	-17.1622898726409	-3.2163953243245	-26.0271152405865	-18.2758478680681
d_5_e_0.05_j_2.99	5	0.05	2.99	-17.1632141150121	-3.2163953243245	-26.1409014023139	-18.2383985899828
d_5_e_0.1_j_0	5	0.1	0	-14.7357036138527	-3.2163953243245	-23.3389070469649	-15.9309173851911
d_5_e_0.1_j_0.01	5	0.1	0.01	-14.7357407369799	-3.2163953243245	-23.3441061407433	-15.9284566772556
d_5_e_0.1_j_0.05	5	0.1	0.05	-14.7358776185681	-3.2163953243245	-23.3638745057388	-15.9193876792199
d_5_e_0.1_j_0.1	5	0.1	0.1	-14.7360267367972	-3.2163953243245	-23.3864803716262	-15.9095393828717
d_5_e_0.1_j_0.3	5	0.1	0.3	-14.7364577286398	-3.2163953243245	-23.4587869571174	-15.8812741953566
d_5_e_0.1_j_1	5	0.1	1	-14.7371180217148	-3.2163953243245	-23.5942898858262	-15.8385647360253
d_5_e_0.1_j_2.99	5	0.1	2.99	-14.7375888575816	-3.2163953243245	-23.715259495832	-15.8085851308129
d_5_e_0.3_j_0	5	0.3	0	-11.2453344877783	-3.2163953243245	-19.7706768772296	-12.3447877292827
d_5_e_0.3_j_0.01	5	0.3	0.01	-11.2453451648988	-3.2163953243245	-19.7772357566333	-12.3437161495877
d_5_e_0.3_j_0.05	5	0.3	0.05	-11.2453845638079	-3.2163953243245	-19.8020735815179	-12.3398303135809
d_5_e_0.3_j_0.1	5	0.3	0.1	-11.2454275142449	-3.2163953243245	-19.8302896384513	-12.335726340899
d_5_e_0.3_j_0.3	5	0.3	0.3	-11.2455514686895	-3.2163953243245	-19.9193299165893	-12.3246530358268
d_5_e_0.3_j_1	5	0.3	1	-11.2457414492319	-3.2163953243245	-20.0820099589893	-12.3101000035551
d_5_e_0.3_j_2.99	5	0.3	2.99	-11.2458767855333	-3.2163953243245	-20.223499213712	-12.3016537368591
d_5_e_1_j_0	5	1	0	-9.86271191496535	-3.2163953243245	-18.2442316185019	-10.7711260840126
d_5_e_1_j_0.01	5	1	0.01	-9.86271387236112	-3.2163953243245	-18.2529958081603	-10.7723282182289
d_5_e_1_j_0.05	5	1	0.05	-9.86272042962978	-3.2163953243245	-18.2861624392436	-10.7770382069999
d_5_e_1_j_0.1	5	1	0.1	-9.86272757530812	-3.2163953243245	-18.3237928678729	-10.7826671837164
d_5_e_1_j_0.3	5	1	0.3	-9.86274851950426	-3.2163953243245	-18.4421501812278	-10.8020219786233
d_5_e_1_j_1	5	1	1	-9.86278062896433	-3.2163953243245	-18.6564544354246	-10.8415426812742
d_5_e_1_j_2.99	5	1	2.99	-9.86280339338715	-3.2163953243245	-18.8403255407182	-10.8780709501286
d_5_e_3_j_0	5	3	0	-18.1573086749582	-3.2163953243245	-26.3981148012969	-18.8463122585132
d_5_e_3_j_0.01	5	3	0.01	-18.1573088899769	-3.2163953243245	-26.4084096532395	-18.8491608909971
d_5_e_3_j_0.05	5	3	0.05	-18.1573095998229	-3.2163953243245	-26.4475587876946	-18.8603047087991
d_5_e_3_j_0.1	5	3	0.1	-18.1573103159912	-3.2163953243245	-26.4923248031217	-18.8736061491746
d_5_e_3_j_0.3	5	3	0.3	-18.1573126979661	-3.2163953243245	-26.6353012124406	-18.9194421248967
d_5_e_3_j_1	5	3	1	-18.1573161397072	-3.2163953243245	-26.9011381066389	-19.0145656612617
d_5_e_3_j_2.99	5	3	2.99	-18.1573187586109	-3.2163953243245	-27.1347157627587	-19.1050746018976
d_5_e_5_j_0	5	5	0	-30.8189928825868	-3.2163953243245	-39.0110032746041	-31.4132749955864
d_5_e_5_j_0.01	5	5	0.01	-30.8189929572035	-3.2163953243245	-39.0215255297757	-31.4164234875225
d_5_e_5_j_0.05	5	5	0.05	-30.8189931558435	-3.2163953243245	-39.061692822142	-31.4288664232822
d_5_e_5_j_0.1	5	5	0.1	-30.8189934042281	-3.2163953243245	-39.1079065278938	-31.4439474970409
d_5_e_5_j_0.3	5	5	0.3	-30.8189940999756	-3.2163953243245	-39.2573228767131	-31.4973602266135
d_5_e_5_j_1	5	5	1	-30.8189951683014	-3.2163953243245	-39.5413168993889	-31.6130740658205
d_5_e_5_j_2.99	5	5	2.99	-30.8189959137951	-3.2163953243245	-39.7963472385164	-31.7275430194708
