d_val	e_val	j_val	BGB_DEC_init_LnL	BD_LnL	classe_DEC_ML	classe_DEC_ML_minus_BD
d_0_e_5_j_0.3	0	5	0.3	-46.1275676383982	-3.2163953243245	-54.3118990265322	-46.0135064787398
d_0_e_5_j_1	0	5	1	-47.5491444755902	-3.2163953243245	-55.3875452589172	-47.4212420776087
d_0_e_5_j_2.99	0	5	2.99	-58.728970611722	-3.2163953243245	-66.8008723031599	-58.286896093666
d_0.01_e_0_j_0	0.01	0	0	-1.88175947841583	-3.2163953243245	-10.4734331409392	-1.88175947618136
d_0.01_e_0_j_0.01	0.01	0	0.01	-1.80992520548138	-3.2163953243245	-10.3819267140603	-1.9018237499786
d_0.01_e_0_j_0.05	0.01	0	0.05	-1.63472585573704	-3.2163953243245	-10.1340918467658	-1.98315142895356
d_0.01_e_0_j_0.1	0.01	0	0.1	-1.5505321544078	-3.2163953243245	-9.97077720428049	-2.08643535507456
d_0.01_e_0_j_0.3	0.01	0	0.3	-1.67963515627169	-3.2163953243245	-9.87130892679378	-2.50341069365807
d_0.01_e_0_j_1	0.01	0	1	-2.94960004699731	-3.2163953243245	-10.7912737158354	-3.90434814331597
d_0.01_e_0_j_2.99	0.01	0	2.99	-14.9218474679005	-3.2163953243245	-22.5140782546095	-15.8678371079474
d_0.01_e_0.01_j_0	0.01	0.01	0	-1.92303347877566	-3.2163953243245	-10.5074817453101	-1.92147147197927
d_0.01_e_0.01_j_0.01	0.01	0.01	0.01	-1.85606094677184	-3.2163953243245	-10.4218142410201	-1.94160886841332
d_0.01_e_0.01_j_0.05	0.01	0.01	0.05	-1.69246619969928	-3.2163953243245	-10.1879687313671	-2.02317757176951
d_0.01_e_0.01_j_0.1	0.01	0.01	0.1	-1.61523084706274	-3.2163953243245	-10.0331091079154	-2.12666275620963
d_0.01_e_0.01_j_0.3	0.01	0.01	0.3	-1.75314395008871	-3.2163953243245	-9.94469885308666	-2.54364925843044
d_0.01_e_0.01_j_1	0.01	0.01	1	-3.02441943892792	-3.2163953243245	-10.869464693947	-3.93826255564507
d_0.01_e_0.01_j_2.99	0.01	0.01	2.99	-8.96700894524554	-3.2163953243245	-17.9339729480503	-9.62655904234142
d_0.01_e_0.05_j_0	0.01	0.05	0	-2.11815553872909	-3.2163953243245	-10.6811706817703	-2.1052356528025
d_0.01_e_0.05_j_0.01	0.01	0.05	0.01	-2.0661290869452	-3.2163953243245	-10.6129390801723	-2.12558394409215
d_0.01_e_0.05_j_0.05	0.01	0.05	0.05	-1.93944985995607	-3.2163953243245	-10.4225872112684	-2.207835713475
d_0.01_e_0.05_j_0.1	0.01	0.05	0.1	-1.88523762752589	-3.2163953243245	-10.2952745465242	-2.31186171872893
d_0.01_e_0.05_j_0.3	0.01	0.05	0.3	-2.05333038775716	-3.2163953243245	-10.2444515126389	-2.72850706922279
d_0.01_e_0.05_j_1	0.01	0.05	1	-3.32925526291101	-3.2163953243245	-11.1861268907674	-4.10166432766355
d_0.01_e_0.05_j_2.99	0.01	0.05	2.99	-7.7673294984658	-3.2163953243245	-16.73984507574	-8.34923027506602
d_0.01_e_0.1_j_0	0.01	0.1	0	-2.41049698332621	-3.2163953243245	-10.9568180902274	-2.37797719284614
d_0.01_e_0.1_j_0.01	0.01	0.1	0.01	-2.37079937413576	-3.2163953243245	-10.9023998927529	-2.39847715831385
d_0.01_e_0.1_j_0.05	0.01	0.1	0.05	-2.27607342807323	-3.2163953243245	-10.7484768684762	-2.4812025985299
d_0.01_e_0.1_j_0.1	0.01	0.1	0.1	-2.24295049785426	-3.2163953243245	-10.6458136526285	-2.58556005668436
d_0.01_e_0.1_j_0.3	0.01	0.1	0.3	-2.44017400850958	-3.2163953243245	-10.6308117980456	-3.00142291498185
d_0.01_e_0.1_j_1	0.01	0.1	1	-3.72088968618943	-3.2163953243245	-11.5895155864105	-4.35462387553827
d_0.01_e_0.1_j_2.99	0.01	0.1	2.99	-7.58370680493329	-3.2163953243245	-16.5569121855212	-8.09589435440148
d_0.01_e_0.3_j_0	0.01	0.3	0	-3.8458587500924	-3.2163953243245	-12.3650905493077	-3.73586963638053
d_0.01_e_0.3_j_0.01	0.01	0.3	0.01	-3.82862191272462	-3.2163953243245	-12.3344956700797	-3.7565610798727
d_0.01_e_0.3_j_0.05	0.01	0.3	0.05	-3.79599090383054	-3.2163953243245	-12.2480075918108	-3.83983510066345
d_0.01_e_0.3_j_0.1	0.01	0.3	0.1	-3.80728696547218	-3.2163953243245	-12.1952506576217	-3.94444979780913
d_0.01_e_0.3_j_0.3	0.01	0.3	0.3	-4.07121695818018	-3.2163953243245	-12.2600819417142	-4.35782851756812
d_0.01_e_0.3_j_1	0.01	0.3	1	-5.36513539498257	-3.2163953243245	-13.2606263481307	-5.67357679009792
d_0.01_e_0.3_j_2.99	0.01	0.3	2.99	-8.51231662532664	-3.2163953243245	-17.4859776081347	-8.9082065052201
d_0.01_e_1_j_0	0.01	1	0	-9.77633009105841	-3.2163953243245	-18.2827116259189	-9.54981642327204
d_0.01_e_1_j_0.01	0.01	1	0.01	-9.77531111227781	-3.2163953243245	-18.2677889847467	-9.57049320036506
d_0.01_e_1_j_0.05	0.01	1	0.05	-9.79108640838479	-3.2163953243245	-18.229293293139	-9.65373693584965
d_0.01_e_1_j_0.1	0.01	1	0.1	-9.84070497388352	-3.2163953243245	-18.215976099818	-9.75836608296168
d_0.01_e_1_j_0.3	0.01	1	0.3	-10.1700036711375	-3.2163953243245	-18.3525528033916	-10.1721657625755
d_0.01_e_1_j_1	0.01	1	1	-11.4879399942855	-3.2163953243245	-19.39907047091	-11.4914878102524
d_0.01_e_1_j_2.99	0.01	1	2.99	-14.2167986336972	-3.2163953243245	-23.1909258686319	-14.7390073713108
d_0.01_e_3_j_0	0.01	3	0	-27.6336860055973	-3.2163953243245	-36.1417776375066	-27.3753407013528
