new_fns	V2	V3
1	geog_000_000.data	-3.6307	0.026
2	geog_000_100.data	-2.6286	0.072
3	geog_000_010.data	-2.6286	0.072
4	geog_000_001.data	-2.6286	0.072
5	geog_000_110.data	-3.043	0.048
6	geog_000_011.data	-3.043	0.048
7	geog_000_101.data	-3.043	0.048
8	geog_000_111.data	-2.8313	0.059
9	geog_100_000.data	-2.6286	0.072
10	geog_100_100.data	-1.3316	0.264
11	geog_100_010.data	-1.8164	0.163
12	geog_100_001.data	-1.8164	0.163
13	geog_100_110.data	-1.9656	0.14
14	geog_100_011.data	-2.261	0.104
15	geog_100_101.data	-1.9656	0.14
16	geog_100_111.data	-1.8514	0.157
17	geog_010_000.data	-2.6286	0.072
18	geog_010_100.data	-1.8164	0.163
19	geog_010_010.data	-1.3316	0.264
20	geog_010_001.data	-1.8164	0.163
21	geog_010_110.data	-1.9656	0.14
22	geog_010_011.data	-1.9656	0.14
23	geog_010_101.data	-2.261	0.104
24	geog_010_111.data	-1.8514	0.157
25	geog_001_000.data	-2.6286	0.072
26	geog_001_100.data	-1.8164	0.163
27	geog_001_010.data	-1.8164	0.163
28	geog_001_001.data	-1.3316	0.264
29	geog_001_110.data	-2.261	0.104
30	geog_001_011.data	-1.9656	0.14
31	geog_001_101.data	-1.9656	0.14
32	geog_001_111.data	-1.8514	0.157
33	geog_110_000.data	-3.043	0.048
34	geog_110_100.data	-1.9656	0.14
35	geog_110_010.data	-1.9656	0.14
36	geog_110_001.data	-2.261	0.104
37	geog_110_110.data	-2.5834	0.076
38	geog_110_011.data	-2.7243	0.066
39	geog_110_101.data	-2.7243	0.066
40	geog_110_111.data	-2.6234	0.073
41	geog_011_000.data	-3.043	0.048
42	geog_011_100.data	-2.261	0.104
43	geog_011_010.data	-1.9656	0.14
44	geog_011_001.data	-1.9656	0.14
45	geog_011_110.data	-2.7243	0.066
46	geog_011_011.data	-2.5834	0.076
47	geog_011_101.data	-2.7243	0.066
48	geog_011_111.data	-2.6234	0.073
49	geog_101_000.data	-3.043	0.048
50	geog_101_100.data	-1.9656	0.14
51	geog_101_010.data	-2.261	0.104
52	geog_101_001.data	-1.9656	0.14
53	geog_101_110.data	-2.7243	0.066
54	geog_101_011.data	-2.7243	0.066
55	geog_101_101.data	-2.5834	0.076
56	geog_101_111.data	-2.6234	0.073
57	geog_111_000.data	-2.8313	0.059
58	geog_111_100.data	-1.8514	0.157
59	geog_111_010.data	-1.8514	0.157
60	geog_111_001.data	-1.8514	0.157
61	geog_111_110.data	-2.6234	0.073
62	geog_111_011.data	-2.6234	0.073
63	geog_111_101.data	-2.6234	0.073
64	geog_111_111.data	-2.7373	0.065
