new_fns	V2	V3
1	geog_000_000.data	-21.9162	0
2	geog_000_100.data	-11.5019	0
3	geog_000_010.data	-11.5019	0
4	geog_000_001.data	-11.5019	0
5	geog_000_110.data	-12.0615	0
6	geog_000_011.data	-12.0615	0
7	geog_000_101.data	-12.0615	0
8	geog_000_111.data	-12.8991	0
9	geog_100_000.data	-11.5019	0
10	geog_100_100.data	-5.8551	0.003
11	geog_100_010.data	-0.685	0.504
12	geog_100_001.data	-0.685	0.504
13	geog_100_110.data	-5.192	0.006
14	geog_100_011.data	-0.568	0.567
15	geog_100_101.data	-5.192	0.006
16	geog_100_111.data	-2.4848	0.083
17	geog_010_000.data	-11.5019	0
18	geog_010_100.data	-0.685	0.504
19	geog_010_010.data	-5.8551	0.003
20	geog_010_001.data	-0.685	0.504
21	geog_010_110.data	-5.192	0.006
22	geog_010_011.data	-5.192	0.006
23	geog_010_101.data	-0.568	0.567
24	geog_010_111.data	-2.4848	0.083
25	geog_001_000.data	-11.5019	0
26	geog_001_100.data	-0.685	0.504
27	geog_001_010.data	-0.685	0.504
28	geog_001_001.data	-5.8551	0.003
29	geog_001_110.data	-0.568	0.567
30	geog_001_011.data	-5.192	0.006
31	geog_001_101.data	-5.192	0.006
32	geog_001_111.data	-2.4848	0.083
33	geog_110_000.data	-12.0615	0
34	geog_110_100.data	-5.192	0.006
35	geog_110_010.data	-5.192	0.006
36	geog_110_001.data	-0.568	0.567
37	geog_110_110.data	-15.3191	0
38	geog_110_011.data	-11.3781	0
39	geog_110_101.data	-11.3781	0
40	geog_110_111.data	-13.3045	0
41	geog_011_000.data	-12.0615	0
42	geog_011_100.data	-0.568	0.567
43	geog_011_010.data	-5.192	0.006
44	geog_011_001.data	-5.192	0.006
45	geog_011_110.data	-11.3781	0
46	geog_011_011.data	-15.3191	0
47	geog_011_101.data	-11.3781	0
48	geog_011_111.data	-13.3045	0
49	geog_101_000.data	-12.0615	0
50	geog_101_100.data	-5.192	0.006
51	geog_101_010.data	-0.568	0.567
52	geog_101_001.data	-5.192	0.006
53	geog_101_110.data	-11.3781	0
54	geog_101_011.data	-11.3781	0
55	geog_101_101.data	-15.3191	0
56	geog_101_111.data	-13.3045	0
57	geog_111_000.data	-12.8991	0
58	geog_111_100.data	-2.4848	0.083
59	geog_111_010.data	-2.4848	0.083
60	geog_111_001.data	-2.4848	0.083
61	geog_111_110.data	-13.3045	0
62	geog_111_011.data	-13.3045	0
63	geog_111_101.data	-13.3045	0
64	geog_111_111.data	-23.0258	0
