new_fns	V2	V3
1	geog_000_000.data	-21.6396	0
2	geog_000_100.data	-11.2253	0
3	geog_000_010.data	-11.2253	0
4	geog_000_001.data	-11.2253	0
5	geog_000_110.data	-12.3884	0
6	geog_000_011.data	-12.3884	0
7	geog_000_101.data	-12.3884	0
8	geog_000_111.data	-12.8992	0
9	geog_100_000.data	-11.2253	0
10	geog_100_100.data	-1e-04	1
11	geog_100_010.data	-1.7918	0.167
12	geog_100_001.data	-1.7918	0.167
13	geog_100_110.data	-1.7918	0.167
14	geog_100_011.data	-2.4849	0.083
15	geog_100_101.data	-1.7918	0.167
16	geog_100_111.data	-2.4849	0.083
17	geog_010_000.data	-11.2253	0
18	geog_010_100.data	-1.7918	0.167
19	geog_010_010.data	-1e-04	1
20	geog_010_001.data	-1.7918	0.167
21	geog_010_110.data	-1.7918	0.167
22	geog_010_011.data	-1.7918	0.167
23	geog_010_101.data	-2.4849	0.083
24	geog_010_111.data	-2.4849	0.083
25	geog_001_000.data	-11.2253	0
26	geog_001_100.data	-1.7918	0.167
27	geog_001_010.data	-1.7918	0.167
28	geog_001_001.data	-1e-04	1
29	geog_001_110.data	-2.4849	0.083
30	geog_001_011.data	-1.7918	0.167
31	geog_001_101.data	-1.7918	0.167
32	geog_001_111.data	-2.4849	0.083
33	geog_110_000.data	-12.3884	0
34	geog_110_100.data	-1.7918	0.167
35	geog_110_010.data	-1.7918	0.167
36	geog_110_001.data	-2.4849	0.083
37	geog_110_110.data	-11.9184	0
38	geog_110_011.data	-12.2061	0
39	geog_110_101.data	-12.2061	0
40	geog_110_111.data	-13.3046	0
41	geog_011_000.data	-12.3884	0
42	geog_011_100.data	-2.4849	0.083
43	geog_011_010.data	-1.7918	0.167
44	geog_011_001.data	-1.7918	0.167
45	geog_011_110.data	-12.2061	0
46	geog_011_011.data	-11.9184	0
47	geog_011_101.data	-12.2061	0
48	geog_011_111.data	-13.3046	0
49	geog_101_000.data	-12.3884	0
50	geog_101_100.data	-1.7918	0.167
51	geog_101_010.data	-2.4849	0.083
52	geog_101_001.data	-1.7918	0.167
53	geog_101_110.data	-12.2061	0
54	geog_101_011.data	-12.2061	0
55	geog_101_101.data	-11.9184	0
56	geog_101_111.data	-13.3046	0
57	geog_111_000.data	-12.8992	0
58	geog_111_100.data	-2.4849	0.083
59	geog_111_010.data	-2.4849	0.083
60	geog_111_001.data	-2.4849	0.083
61	geog_111_110.data	-13.3046	0
62	geog_111_011.data	-13.3046	0
63	geog_111_101.data	-13.3046	0
64	geog_111_111.data	-23.0258	0
